time	n.risk	n.event	n.censor	estimate	std.error	conf.high	conf.low	strata
2172	55	1	0	0.32385504478665794	0.10931850210292171	0.4012386349834091	0.2613957901589038	clusterID=1
2211	54	1	0	0.3178577291424606	0.11090509867364018	0.3950348106076326	0.2557585642141121	clusterID=1
2252	53	0	1	0.3178577291424606	0.11090509867364018	0.3950348106076326	0.2557585642141121	clusterID=1
2262	52	1	0	0.3117450805051056	0.11259225025860145	0.3887212709325707	0.25001203300756053	clusterID=1
2321	51	0	1	0.3117450805051056	0.11259225025860145	0.3887212709325707	0.25001203300756053	clusterID=1
2337	50	1	0	0.3055101788950035	0.11439046325459855	0.38229183580816545	0.24414978470869939	clusterID=1
2389	49	1	0	0.2992752772849014	0.1162340232101981	0.3758455579700371	0.2383045101762115	clusterID=1
2410	48	1	0	0.29304037567479924	0.11812540185318478	0.369382219723776	0.23247643549232835	clusterID=1
2417	47	1	0	0.28680547406469714	0.12006725304211031	0.3629015868586498	0.22666580398700467	clusterID=1
2420	46	1	0	0.28057057245459505	0.12206243091351966	0.3564034076924031	0.22087287727461627	clusterID=1
2462	45	1	0	0.27433567084449295	0.12411401027107401	0.3498874120154873	0.21509793640237246	clusterID=1
2480	44	0	1	0.27433567084449295	0.12411401027107401	0.3498874120154873	0.21509793640237246	clusterID=1
2520	43	0	1	0.27433567084449295	0.12411401027107401	0.3498874120154873	0.21509793640237246	clusterID=1
2557	42	1	0	0.2678038691577193	0.12643183000527786	0.34311192791958145	0.20902482980030446	clusterID=1
2809	41	0	1	0.2678038691577193	0.12643183000527786	0.34311192791958145	0.20902482980030446	clusterID=1
2815	40	1	0	0.26110877242877634	0.12894197640609176	0.3361840248222292	0.2027990207902183	clusterID=1
2822	39	1	0	0.25441367569983336	0.13153249451054932	0.32923129851112176	0.1965983145460682	clusterID=1
2876	38	1	0	0.2477185789708904	0.1342089217060867	0.32225333554622176	0.19042314725259243	clusterID=1
2885	37	1	0	0.24102348224194742	0.13697731715967157	0.31524968440950996	0.18427399570865963	clusterID=1
2938	36	0	1	0.24102348224194742	0.13697731715967157	0.31524968440950996	0.18427399570865963	clusterID=1
3007	35	0	1	0.24102348224194742	0.13697731715967157	0.31524968440950996	0.18427399570865963	clusterID=1
3043	34	1	0	0.23393455629365484	0.14019290643042254	0.30791212991141675	0.17773049942544686	clusterID=1
3116	33	1	0	0.2268456303453623	0.14353055671312262	0.30054108460792295	0.17122098322735665	clusterID=1
3149	32	1	0	0.2197567043970697	0.14700028988579558	0.2931358985883845	0.16474614456987113	clusterID=1
3185	31	1	0	0.21266777844877716	0.15061325985354757	0.28569585113728824	0.15830675807960723	clusterID=1
3264	30	1	0	0.20557885250048458	0.15438192682781415	0.2782201445681268	0.15190368282289238	clusterID=1
3323	29	1	0	0.19848992655219203	0.15832026536317018	0.2707078971125663	0.14553787075635966	clusterID=1
3328	28	1	0	0.19140100060389945	0.16244401419386292	0.2631581347093313	0.13921037657695065	clusterID=1
3344	27	1	0	0.18431207465560687	0.16677097820639347	0.25556978150463533	0.13292236924042553	clusterID=1
3353	26	1	0	0.1772231487073143	0.17132139595035673	0.2479416488358514	0.12667514548363912	clusterID=1
3483	25	1	0	0.1701342227590217	0.17611839022954295	0.2402724224205375	0.12047014577126208	clusterID=1
3509	24	0	1	0.1701342227590217	0.17611839022954295	0.2402724224205375	0.12047014577126208	clusterID=1
3805	23	1	0	0.16273708263906425	0.18164242885963017	0.23232761919556066	0.11399143226092884	clusterID=1
3815	22	0	1	0.16273708263906425	0.18164242885963017	0.23232761919556066	0.11399143226092884	clusterID=1
3838	21	1	0	0.15498769775148977	0.18808222761063362	0.2240748475012367	0.10720161911155408	clusterID=1
3918	20	0	1	0.15498769775148977	0.18808222761063362	0.2240748475012367	0.10720161911155408	clusterID=1
4060	19	0	1	0.15498769775148977	0.18808222761063362	0.2240748475012367	0.10720161911155408	clusterID=1
4443	18	0	1	0.15498769775148977	0.18808222761063362	0.2240748475012367	0.10720161911155408	clusterID=1
4622	17	0	1	0.15498769775148977	0.18808222761063362	0.2240748475012367	0.10720161911155408	clusterID=1
