sample	cluster_assigned	method
BS_HNMQ7488	1	dbscan
BS_HPEYQCY8	1	dbscan
BS_HQ5BJ6MW	1	dbscan
BS_HQDXQ5Y4	1	dbscan
BS_HQNTHFJT	0	dbscan
BS_HQYGYPCV	1	dbscan
BS_HSHN8PBB	1	dbscan
BS_HSPV8GXC	1	dbscan
BS_HSTNFPKW	1	dbscan
BS_HV8PFRBR	1	dbscan
BS_HWVD3RH0	1	dbscan
BS_HX0S30NE	1	dbscan
BS_J5H5VXWY	1	dbscan
BS_J6VKB1VE	1	dbscan
BS_J9M83K8T	1	dbscan
BS_JFR750KD	1	dbscan
BS_JG9JZTA9	1	dbscan
BS_JGKZ54SA	1	dbscan
BS_JH29M4KG	1	dbscan
BS_JKDKZSX8	1	dbscan
BS_JKXA3FQC	1	dbscan
BS_JMHG7GCN	1	dbscan
BS_JN3S2H2Z	1	dbscan
BS_JNXMRAW1	0	dbscan
BS_JVA2NQFF	1	dbscan
BS_JWSR581E	1	dbscan
BS_JX4QBM9G	1	dbscan
BS_K2VYFVKZ	1	dbscan
BS_K57A4A9D	1	dbscan
BS_K5802F84	1	dbscan
BS_K7MVS0Z7	1	dbscan
BS_K838XW6V	1	dbscan
BS_K8ZGHV4D	1	dbscan
BS_KEA474HN	1	dbscan
BS_KPT2WPHW	1	dbscan
BS_KSC2H2HV	1	dbscan
BS_KT975AEF	1	dbscan
BS_KVV7001W	1	dbscan
BS_KX6J8TRK	1	dbscan
BS_M2WPG4K6	1	dbscan
BS_M4NVX721	1	dbscan
BS_M4TTKPNR	1	dbscan
BS_M62BBERH	1	dbscan
BS_M8M56Z4Y	1	dbscan
BS_M8WP5T16	1	dbscan
BS_MBQND18D	1	dbscan
BS_MBSTWZA6	1	dbscan
BS_MCNKFZDF	1	dbscan
BS_ME3HKN2C	1	dbscan
BS_MF47B9ZW	1	dbscan
BS_MF9X3PKH	1	dbscan
BS_MX92FD6D	1	dbscan
BS_MY9D8XZ1	1	dbscan
BS_N1E0H8YQ	1	dbscan
BS_N210XMKR	1	dbscan
BS_N5B2CZMH	1	dbscan
BS_N6NE6B3W	1	dbscan
BS_N87X1T8T	1	dbscan
BS_NB5XWMJT	1	dbscan
BS_NBZNAG7Q	1	dbscan
BS_NG9X6SJA	1	dbscan
BS_NPQJ20KX	1	dbscan
BS_NQB91P48	1	dbscan
BS_NRFQEQKP	1	dbscan
BS_NRPG5K4K	1	dbscan
BS_NS7GSHB9	1	dbscan
BS_NT9NZYFD	1	dbscan
BS_NWNB68G0	1	dbscan
BS_NY5T05AK	1	dbscan
BS_NYS8TRCB	1	dbscan
BS_P277RYX5	1	dbscan
BS_P2Y2NANM	1	dbscan
BS_PDVD0GCM	1	dbscan
BS_PEP9NZXN	1	dbscan
BS_PK18H7E7	1	dbscan
BS_PKW05VZV	1	dbscan
BS_PN2CE34A	1	dbscan
BS_PQ6QEVE8	1	dbscan
BS_PQ7CQFYR	1	dbscan
BS_PRCG6W20	1	dbscan
BS_PWDRF91N	1	dbscan
BS_Q2PBFNDF	1	dbscan
BS_Q3TBCK4V	1	dbscan
BS_Q6VH5GJ8	1	dbscan
BS_Q79NP5YY	1	dbscan
BS_Q7WNW1AS	1	dbscan
BS_QBMW69AM	1	dbscan
BS_QC3XCE6X	1	dbscan
BS_QF1FGWVF	1	dbscan
BS_QF5VVZX5	1	dbscan
BS_QH82PBMB	1	dbscan
BS_QMNH45Q2	1	dbscan
BS_QQE8MWWV	1	dbscan
BS_QRNSKFMS	1	dbscan
BS_QTMN8HYC	1	dbscan
BS_QTSXW7DA	1	dbscan
BS_QV51J756	1	dbscan
BS_R13X6TMW	1	dbscan
BS_R244Z0WX	1	dbscan
BS_R3AJB6VS	1	dbscan
BS_R7V8BC98	1	dbscan
BS_R81XA0F9	1	dbscan
BS_R9CKW9DY	1	dbscan
BS_RAQFEB0S	1	dbscan
BS_RARBBY7C	1	dbscan
BS_RC8E5TVQ	1	dbscan
BS_RGSMX7QD	1	dbscan
BS_RMT7ABN6	1	dbscan
BS_RNANA568	1	dbscan
BS_RPJ1EPHA	1	dbscan
BS_RPKA4GF9	1	dbscan
BS_RPZQQM2D	1	dbscan
BS_RRAEQZ97	1	dbscan
BS_RVSEDNJ4	1	dbscan
BS_RWJZFTP9	1	dbscan
BS_RYZG8SPC	1	dbscan
BS_S1KK7XRH	1	dbscan
BS_S458NMKH	1	dbscan
BS_S4V9E1XJ	1	dbscan
BS_S50KQEXV	1	dbscan
BS_S7CZY2CH	1	dbscan
BS_S9929Z8B	1	dbscan
BS_SDA4RMMG	1	dbscan
BS_SDZY6RZ3	1	dbscan
BS_SFKZSJN1	1	dbscan
BS_SH2S6SFN	0	dbscan
BS_SHMC4902	1	dbscan
BS_SJ0HXCD0	1	dbscan
BS_SNE31RRX	1	dbscan
BS_SQERZ97M	1	dbscan
BS_SQX5E15Z	1	dbscan
BS_SW6YC2DG	1	dbscan
BS_SW8C9Y5Y	1	dbscan
BS_SXRS2P6T	1	dbscan
BS_T0MXH2CA	1	dbscan
BS_T0RKFEKR	1	dbscan
BS_T11NFKSD	1	dbscan
BS_T1W4JA94	1	dbscan
BS_T2QPMZCM	1	dbscan
BS_T2X8ZD79	1	dbscan
BS_T3H5AY8A	1	dbscan
BS_T4JFN54G	1	dbscan
BS_T55Y4Z0Y	1	dbscan
BS_T5P5ME9M	1	dbscan
BS_TDJXQBVY	1	dbscan
BS_TG93XC55	1	dbscan
BS_TMTV769C	1	dbscan
BS_TRZZRYKF	1	dbscan
BS_TV80600R	1	dbscan
BS_TVV122JG	1	dbscan
BS_TWFDEMBZ	1	dbscan
BS_V036JAV6	1	dbscan
BS_V0Q1G94N	1	dbscan
BS_V11VZZH8	1	dbscan
BS_V1J03963	1	dbscan
BS_V2G1YE8R	1	dbscan
BS_V33RCK1Y	1	dbscan
BS_V3REENH9	1	dbscan
BS_V4XCTG09	1	dbscan
BS_V72GX2AZ	1	dbscan
BS_V7BJM89K	1	dbscan
BS_V7BZ049H	1	dbscan
BS_V89HGTET	1	dbscan
BS_V92ZMBXX	1	dbscan
BS_VARR255N	1	dbscan
BS_VBEY9DVY	1	dbscan
BS_VMMJYN8Z	1	dbscan
BS_VP3C8WZT	1	dbscan
BS_VP5Y45Z7	1	dbscan
BS_VR7FR1NE	1	dbscan
BS_VSSBS981	1	dbscan
BS_VTYNWK05	1	dbscan
BS_VW85Q4XJ	1	dbscan
BS_VZWXGYT2	1	dbscan
BS_W3R88RFP	1	dbscan
BS_W4HGV6E7	1	dbscan
BS_W97QQYKQ	1	dbscan
BS_WCRKYV0T	1	dbscan
BS_WERNRP82	1	dbscan
BS_WG203ECV	1	dbscan
BS_WRQHPSXQ	1	dbscan
BS_WXT1VK25	1	dbscan
BS_WYMX429C	1	dbscan
BS_X0F9AYEC	1	dbscan
BS_X16PENSA	1	dbscan
BS_X2EDW2ZB	1	dbscan
BS_X59HSFGG	1	dbscan
BS_X5DFR216	1	dbscan
BS_X6GFVDVA	1	dbscan
BS_X91K8KMG	1	dbscan
BS_X9EGD530	1	dbscan
BS_XGSA3GQE	1	dbscan
BS_XKKB4MZV	1	dbscan
BS_XV4GV9Y9	0	dbscan
BS_XX39AH8F	1	dbscan
BS_Y0PCBNJV	1	dbscan
BS_Y274AC0H	1	dbscan
BS_Y4ZQEPPD	0	dbscan
BS_Y7F9E2E9	1	dbscan
BS_Y7H24JZG	1	dbscan
BS_Y7W8BR6B	1	dbscan
BS_YA8RBGD8	1	dbscan
BS_YASWHXJC	1	dbscan
BS_YB2RXRHT	1	dbscan
BS_YBGXGEM3	1	dbscan
BS_YBGZ4BRP	1	dbscan
BS_YCREDZTJ	1	dbscan
BS_YEQVW4ND	1	dbscan
BS_YG0A13JH	1	dbscan
BS_YH817HDT	1	dbscan
BS_YMAJC22S	1	dbscan
BS_YT4E515V	1	dbscan
BS_YVEEXAAT	1	dbscan
BS_YVMEEBKC	1	dbscan
BS_YWJKHMXV	1	dbscan
BS_YY5B2XDD	0	dbscan
BS_YZ2Z1Q6Y	1	dbscan
BS_Z0AVVB1V	1	dbscan
BS_Z0E26P1R	1	dbscan
BS_Z5ATH1YR	0	dbscan
BS_Z6BWR941	1	dbscan
BS_Z7Y2466H	1	dbscan
BS_ZHRGDRBW	1	dbscan
BS_ZJY7Y34M	1	dbscan
BS_ZK6WE17T	0	dbscan
BS_ZN2P8BKH	1	dbscan
BS_ZRF3A49T	1	dbscan
BS_ZRM0W01M	1	dbscan
BS_ZTWGFWTX	1	dbscan
BS_ZV9Z3SY6	1	dbscan
BS_ZVX2GRD6	1	dbscan
BS_ZVZDDW2G	1	dbscan
BS_ZZMYDZJW	1	dbscan
BS_ZZWMD6FA	1	dbscan
