Kids_First_Biospecimen_ID_RNA	sample_id	composition	cluster_assigned	Kids_First_Biospecimen_ID_DNA	tmb
BS_TRZZRYKF	7316-5277	Solid Tissue	2	BS_MFXPEXWE	0.25010642723218807
BS_TV80600R	7316-2679	Solid Tissue	2	BS_RC3G012N	0.3056856332837854
BS_TVV122JG	7316-7760	Solid Tissue	3	BS_14ANJZNN	0.1945272211805907
BS_TWFDEMBZ	7316-3637	Solid Tissue	2	BS_MV12D03W	0.22231682420638935
BS_V0Q1G94N	7316-485	Solid Tissue	1	BS_042DVDQM	0.5557920605159734
BS_V2G1YE8R	7316-7520	Solid Tissue	2	BS_D9T75W2D	0.22231682420638935
BS_V33RCK1Y	7316-6963	Solid Tissue	2	BS_D67XNVBS	0.11115841210319467
BS_V3REENH9	7316-2566	Solid Tissue	1	BS_P3KD5EQG	0.22231682420638935
BS_V72GX2AZ	7316-472	Solid Tissue	2	BS_2F70R10Z	0.2778960302579867
BS_V7BJM89K	7316-217	Solid Tissue	1	BS_S88G7BXH	0.08336880907739601
BS_V7BZ049H	7316-5336	Solid Tissue	2	BS_X9B4XHPR	0.3612648393353827
BS_V89HGTET	7316-2197	Solid Tissue	1	BS_ABENB1H2	0.1945272211805907
BS_V92ZMBXX	C4113735-Tumor	Solid Tissue	3	BS_XA22ZVF2	0.7265687042155758
BS_VARR255N	7316-3522	Solid Tissue	1	BS_1GK2EMFY	0.33347523630958403
BS_VMMJYN8Z	7316-1783	Solid Tissue	3	BS_G61CN2V0	1.083794518006148
BS_VP3C8WZT	7316-391	Solid Tissue	1	BS_2CQ6K2JW	0.22231682420638935
BS_VP5Y45Z7	7316-658	Solid Tissue	1	BS_Y3ETG5AE	0.13894801512899335
BS_VR7FR1NE	7316-1928	Solid Tissue	1	BS_M8EBKZDG	0.7503192816965641
BS_VSSBS981	7316-9439	Solid Tissue	2	BS_M500BT9F	0.13894801512899335
BS_VTYNWK05	7316-6354	Solid Tissue	2	BS_P5D86TJ5	0.11115841210319467
BS_VW85Q4XJ	7316-2962	Solid Tissue	1	BS_ZJZFT0AJ	1.3061113422125374
BS_VZWXGYT2	7316-4269	Solid Tissue	2	BS_VBYZNS8M	0.3612648393353827
BS_W3R88RFP	7316-173	Solid Tissue	1	BS_DW1CYEXP	0.3056856332837854
BS_W4HGV6E7	7316-3040	Solid Tissue	3	BS_F48RA7QF	0.13894801512899335
BS_W97QQYKQ	7316-1071	Solid Tissue	1	BS_XKE77TR4	0.11115841210319467
BS_WCRKYV0T	7316-152	Solid Tissue	3	BS_KM878Y43	0.13894801512899335
BS_WERNRP82	7316-5765	Solid Tissue	3	BS_CCK2ZSTR	0.13894801512899335
BS_WG203ECV	7316-896	Solid Tissue	1	BS_Q3ANJDVG	0.11115841210319467
BS_WRQHPSXQ	7316-389	Solid Tissue	3	BS_HTGDSPQA	0.6669504726191681
BS_WYMX429C	7316-4208	Solid Tissue	2	BS_H3P7W3J4	0.13894801512899335
BS_X0F9AYEC	7316-196	Solid Tissue	3	BS_06GPPDHZ	0.6113712665675708
BS_X16PENSA	7316-1942	Solid Tissue	1	BS_4P25NNZD	0.22231682420638935
BS_X2EDW2ZB	7316-7059	Solid Tissue	3	BS_92JCRXPC	0.13894801512899335
BS_X59HSFGG	7316-1767	Solid Tissue	2	BS_KCN7NG92	0.4724232514385774
BS_X5DFR216	7316-4675	Solid Tissue	2	BS_KB1SX2N3	0.2778960302579867
BS_X6GFVDVA	7316-7932	Solid Tissue	2	BS_BF9N8YYP	0.08336880907739601
BS_X91K8KMG	7316-1659	Solid Tissue	2	BS_CGCNC41M	0.4446336484127787
BS_X9EGD530	7316-2204	Solid Tissue	1	BS_3C4YAMKJ	0.13894801512899335
BS_XGSA3GQE	7316-3062	Solid Tissue	1	BS_16TBX6G5	0.33347523630958403
BS_XX39AH8F	7316-4873	Solid Tissue	2	BS_FSRYGAR8	0.16673761815479202
BS_Y0PCBNJV	7316-643	Solid Tissue	1	BS_KVV3G6NP	0.02778960302579867
BS_Y274AC0H	7316-3077	Solid Tissue	2	BS_BAMEF0Q1	0.3056856332837854
BS_Y7F9E2E9	7316-2723	Solid Tissue	3	BS_78TQS4Y3	0.3890544423611814
BS_Y7H24JZG	7316-9493	Solid Tissue	2	BS_F44R8ARA	0.22231682420638935
BS_Y7W8BR6B	7316-9448	Solid Tissue	2	BS_P3966C69	0.1945272211805907
BS_YA8RBGD8	7316-1661	Solid Tissue	1	BS_2NN6ME5A	0.7225296786707655
BS_YASWHXJC	7316-4919	Solid Tissue	2	BS_Y608G5EA	0.2778960302579867
