sample	cluster_assigned	method
BS_HC5M8JTC	0	hdbscan
BS_HK9P0Q4G	0	hdbscan
BS_HM0R6SXQ	0	hdbscan
BS_HNMQ7488	0	hdbscan
BS_HPEYQCY8	1	hdbscan
BS_HQ5BJ6MW	2	hdbscan
BS_HQDXQ5Y4	0	hdbscan
BS_HQNTHFJT	0	hdbscan
BS_HQYGYPCV	0	hdbscan
BS_HSHN8PBB	2	hdbscan
BS_HSPV8GXC	1	hdbscan
BS_HSTNFPKW	0	hdbscan
BS_HV8PFRBR	0	hdbscan
BS_HWVD3RH0	0	hdbscan
BS_HX0S30NE	0	hdbscan
BS_J5H5VXWY	0	hdbscan
BS_J6VKB1VE	0	hdbscan
BS_J9M83K8T	0	hdbscan
BS_JFR750KD	2	hdbscan
BS_JG9JZTA9	0	hdbscan
BS_JGKZ54SA	1	hdbscan
BS_JH29M4KG	2	hdbscan
BS_JKDKZSX8	0	hdbscan
BS_JKXA3FQC	2	hdbscan
BS_JMHG7GCN	2	hdbscan
BS_JN3S2H2Z	0	hdbscan
BS_JNXMRAW1	0	hdbscan
BS_JVA2NQFF	2	hdbscan
BS_JWSR581E	0	hdbscan
BS_JX4QBM9G	0	hdbscan
BS_K2VYFVKZ	2	hdbscan
BS_K57A4A9D	0	hdbscan
BS_K5802F84	0	hdbscan
BS_K7MVS0Z7	2	hdbscan
BS_K838XW6V	1	hdbscan
BS_K8ZGHV4D	0	hdbscan
BS_KEA474HN	2	hdbscan
BS_KPT2WPHW	0	hdbscan
BS_KSC2H2HV	1	hdbscan
BS_KT975AEF	0	hdbscan
BS_KVV7001W	2	hdbscan
BS_KX6J8TRK	0	hdbscan
BS_M2WPG4K6	0	hdbscan
BS_M4NVX721	0	hdbscan
BS_M4TTKPNR	2	hdbscan
BS_M62BBERH	0	hdbscan
BS_M8M56Z4Y	0	hdbscan
BS_M8WP5T16	0	hdbscan
BS_MBQND18D	0	hdbscan
BS_MBSTWZA6	2	hdbscan
BS_MCNKFZDF	0	hdbscan
BS_ME3HKN2C	0	hdbscan
BS_MF47B9ZW	0	hdbscan
BS_MF9X3PKH	2	hdbscan
BS_MX92FD6D	0	hdbscan
BS_MY9D8XZ1	2	hdbscan
BS_N1E0H8YQ	2	hdbscan
BS_N210XMKR	2	hdbscan
BS_N5B2CZMH	0	hdbscan
BS_N6NE6B3W	0	hdbscan
BS_N87X1T8T	1	hdbscan
BS_NB5XWMJT	0	hdbscan
BS_NBZNAG7Q	0	hdbscan
